player,position,team,salary
Chad Wheeler,OT,NYG,465000
Deyshawn Bond,C,IND,465000
Mack Hollins,WR,PHI,465000
Eddie Yarbrough,DE,BUF,465000
Teez Tabor,CB,DET,465000
Justin Evans,SS,TAM,465000
Christian McCaffrey,RB,CAR,465000
Zach Banner,OG,CLE,465000
O.J. Howard,TE,TAM,465000
Montravius Adams,DT,GNB,465000
Tarell Basham,DE,IND,465000
Jehu Chesson,WR,KAN,465000
Torry McTyer,CB,MIA,465000
Chris Wormley,DT,BAL,465000
C.J. Ham,RB,MIN,465000
Dion Dawkins,OG,BUF,465000
Kendrick Bourne,WR,SFO,465000
Giorgio Tavecchio,K,OAK,465000
Taylor Moton,OT,CAR,465000
Desmond King,FS,LAC,465000
Jonnu Smith,TE,TEN,465000
Haason Reddick,OLB,ARI,465000
Aaron Jones,RB,GNB,465000
Kenny Golladay,WR,DET,465000
Tre Madden,RB,SEA,465000
Brian Allen,CB,PIT,465000
Derrick Jones,CB,NYJ,465000
Danny Isidora,OG,MIN,465000
Zay Jones,WR,BUF,465000
T.J. Watt,OLB,PIT,465000
Carl Lawson,DE,CIN,465000
Marcus Maye,FS,NYJ,465000
Kenny Moore,CB,IND,465000
Lorenzo Jerome,DB,SFO,465000
Tanner Gentry,WR,CHI,465000
Jeremiah Valoaga,DE,DET,465000
Tyus Bowser,OLB,BAL,465000
Taywan Taylor,WR,TEN,465000
Ryan Glasgow,DT,CIN,465000
James Conner,RB,PIT,465000
Alex Barrett,DE,DET,465000
Kasen Williams,WR,CLE,465000
Maurice Smith,FS,MIA,465000
Kendell Beckwith,ILB,TAM,465000
Tim Williams,OLB,BAL,465000
Rasul Douglas,CB,PHI,465000
D'Onta Foreman,RB,HOU,465000
Solomon Thomas,DE,SFO,465000
Jonathan Allen,DT,WAS,465000
Josh Jones,S,GNB,465000
Montae Nicholson,SS,WAS,465000
Treyvon Hester,DT,OAK,465000
Matt Milano,OLB,BUF,465000
Jaylen Hill,CB,BAL,465000
Pat Elflein,C,MIN,465000
Ethan Pocic,C,SEA,465000
Tyrique Jarrett,DT,DEN,465000
Cam Robinson,OT,JAX,465000
Devante Bond,OLB,TAM,465000
Jacob Hollister,TE,NWE,465000
Ryan Switzer,WR,DAL,465000
Adam Butler,DT,NWE,465000
Joshua Holsey,CB,WAS,465000
Jordan Evans,ILB,CIN,465000
Shelton Gibson,WR,PHI,465000
Chris Godwin,WR,TAM,465000
Shane Smith,FB,NYG,465000
Cethan Carter,TE,CIN,465000
Jalen Reeves-Maybin,OLB,DET,465000
Taco Charlton,DE,DAL,465000
Nazair Jones,DT,SEA,465000
Deshaun Watson,QB,HOU,465000
Julie'n Davenport,OT,HOU,465000
Antony Auclair,TE,TAM,465000
Gerald Everett,TE,LAR,465000
Pita Taumoepenu,OLB,SFO,465000
Austin Carr,WR,NOR,465000
DeMarcus Walker,DE,DEN,465000
Rigoberto Sanchez,K,IND,465000
Mike Williams,WR,LAC,465000
Dylan Donahue,DL,NYJ,465000
Elijhaa Penny,RB,ARI,465000
Trey Hendrickson,DE,NOR,465000
Eric Wilson,ILB,MIN,465000
Jeremy Sprinkle,TE,WAS,465000
Mitch Trubisky,QB,CHI,465000
Roy Robertson-Harris,LB,CHI,465000
Alex Anzalone,OLB,NOR,465000
Matt Haack,P,MIA,465000
Myles Garrett,DE,CLE,465000
Keelan Cole,WR,JAX,465000
Ben Gedeon,ILB,MIN,465000
Tanner Vallejo,ILB,BUF,465000
Trevon Coley,DL,CLE,465000
Budda Baker,FS,ARI,465000
John Johnson,S,LAR,465000
Gareon Conley,CB,OAK,465000
Cooper Rush,QB,DAL,465000
Jordan Willis,DE,CIN,465000
Lucas Patrick,G,GNB,465000
Josh Carraway,DE,TEN,465000
Eric Saubert,TE,ATL,465000
Samaje Perine,RB,WAS,465000
Patrick Mahomes,QB,KAN,465000
Rudy Ford,S,ARI,465000
Tyler Catalina,OG,WAS,465000
Harvey Langi,ILB,NWE,465000
Delano Hill,FS,SEA,465000
Austin Ekeler,RB,LAC,465000
Nate Hairston,CB,IND,465000
Garett Bolles,OT,DEN,465000
Will Holden,OT,ARI,465000
Ejuan Price,OLB,LAR,465000
Devante Mays,RB,GNB,465000
Orlando Franklin,OL,WAS,455882
Sean Weatherspoon,LB,ATL,455882
Gavin Escobar,TE,BAL,455882
Khyri Thornton,DT,DET,452941
Curtis Grant,LB,NYG,437648
Evan Baylis,TE,HOU,437647
Lawrence Thomas,DE,NYJ,437647
Michael Davis,,LAC,437647
Mike Davis,RB,SEA,437647
Adam Pankey,OG,GNB,437647
Elijah Lee,OLB,SFO,437647
Kelvin Sheppard,LB,NYG,423529
Louis Murphy,WR,SFO,423528
Jordan Lucas,SS,MIA,421941
Scooby Wright,ILB,ARI,412945
Chris Reed,G,JAX,412945
Deon King,LB,CLE,412945
Bryce Treggs,WR,CLE,412941
Branden Jackson,DE,SEA,412941
Quinton Jefferson,DT,SEA,412941
Mike Thomas,WR,LAR,412941
Reggie Porter,CB,CLE,410295
Jordan Leslie,WR,CLE,410295
T.J. Yates,QB,HOU,410294
Devin Taylor,DE,NYG,410294
Ricky Seals-Jones,WR,ARI,410294
Alex Armah,FB,CAR,410294
Matt Skura,C,BAL,410294
Justin Hardee,WR,NOR,410294
Don Barclay,G,DET,410294
Robert Nelson,FS,NYJ,405882
David Fales,QB,MIA,405880
Jairus Byrd,DB,CAR,404648
Josh Lambo,K,JAX,397941
Michael Ola,T,LAC,397941
A.J. Francis,DL,WAS,397936
Aaron Wallace,OLB,TEN,383824
Chris Thompson,WR,HOU,382942
Chris Thompson,RB,WAS,382942
Taybor Pepper,LS,GNB,382941
Bryan Cox,DE,CAR,382941
Harrison Butker,K,KAN,382941
Darnell Sankey,LB,IND,381176
Shilique Calhoun,DE,OAK,381176
Patrick Murray,K,TAM,381176
Dannell Ellerbe,LB,PHI,370588
Will Beatty,T,PHI,370588
Cam Thomas,DT,KAN,370587
Brenton Bersin,WR,CAR,365292
Jeff Cumberland,TE,LAC,364706
Maurice Canady,CB,BAL,363000
Ronald Blair,DE,SFO,363000
Deiondre' Hall,CB,CHI,363000
Arie Kouandjio,OG,WAS,361765
Trevor Reilly,OLB,NWE,361765
Isaiah Johnson,S,TAM,355589
Jon Halapio,OG,NYG,355589
Isaiah Irving,OLB,CHI,355588
Henry Krieger-Coble,TE,IND,355588
Kyle Kalis,OG,IND,355588
Darrelle Revis,DB,KAN,352941
Jermaine Whitehead,DB,GNB,349415
Joe Callahan,QB,GNB,349415
Richard Ash,DT,DAL,349415
Daniel Lasco,RB,NOR,349412
Marquez Williams,FB,CLE,348000
Vince Biegel,OLB,GNB,348000
Cameron Sutton,CB,PIT,348000
Obi Melifonwu,SS,OAK,348000
Dede Westbrook,WR,JAX,348000
Jeremy Clark,CB,NYJ,348000
Adam Bighill,LB,NOR,328236
Tani Tupou,DT,ATL,328236
Marvin Hall,WR,ATL,328236
Donte Deayon,DB,NYG,328236
Travis Rudolph,WR,NYG,328235
Ed Eagan,WR,NYG,328235
Marcus Kemp,WR,KAN,328235
Cole Hikutini,TE,SFO,328235
Xavier Coleman,CB,NYJ,328235
Angelo Blackson,DT,HOU,325588
Tyreek Burwell,T,IND,325588
Cyrus Kouandjio,OT,DEN,324706
Harlan Miller,CB,ARI,319118
Akeem Ayers,LB,NYG,319118
Joshua Perry,OLB,IND,317647
Matt Lengel,TE,CLE,317647
Jaydon Mickens,WR,JAX,300883
Nathan Gerry,SS,PHI,300883
Elijah Wilkinson,OT,DEN,300883
Jerrol Garcia-Williams,LB,DEN,300883
Freddie Martino,WR,TAM,289408
D.J. White,CB,IND,285882
Nate Sudfeld,QB,PHI,285882
Dan Skipper,OT,DET,273530
Kevin Snyder,LB,DEN,273530
Blake Jarwin,TE,DAL,273530
Jace Billingsley,WR,DET,273530
Elijah Hood,RB,OAK,273529
Joey Mbu,NT,IND,254120
Ben Braunecker,TE,CHI,254120
Max Tuerk,C,ARI,254118
Zach Vigil,ILB,WAS,253235
Terrence Magee,RB,ATL,253232
Deiontrez Mount,OLB,DEN,253232
Donatello Brown,CB,GNB,246177
Marshall Koehn,K,CIN,246177
Darrell Williams,OL,SFO,246177
Bryson Albright,LB,ARI,246177
Derek Hart,LS,GNB,246177
Fitzgerald Toussaint,RB,PIT,243529
Demetrius Rhaney,C,WAS,243529
Chris Prosinski,DB,CHI,227941
Tim Barnes,C,SFO,227941
Vinston Painter,OT,ARI,222353
Byron Marshall,RB,WAS,222353
Joe Kerridge,FB,GNB,222353
Brandon Banks,DL,WAS,218824
Darius Hillary,CB,CLE,218824
Brandon Wilson,CB,CIN,218824
Chunky Clements,DT,HOU,218824
Maurice Harris,WR,WAS,218824
Lewis Neal,DE,DAL,218824
Josh Forrest,ILB,SEA,218824
Daniel Ross,DT,DAL,218824
Zach Sterup,OL,MIA,218824
Josh Tupou,DT,CIN,218824
Johnny Mundt,TE,LAR,218824
Jojo Natson,WR,NYJ,218824
Joseph Jones,OLB,DEN,218824
Howard Jones,LB,CHI,217059
Neville Hewitt,LB,MIA,217059
Orson Charles,TE,KAN,202940
Austin Traylor,TE,DEN,191471
Colin Holba,LS,JAX,191471
Larry Pinkard,WR,JAX,191471
Cobi Hamilton,WR,HOU,190590
Christian Ringo,DE,DET,190588
Spencer Paysinger,LB,CAR,182353
Bradley Marquez,WR,DET,180882
Khalif Barnes,T,ARI,176471
Pete Robertson,LB,WAS,164118
LeShun Daniels,RB,WAS,164118
Jason Vander Laan,TE,IND,164118
Kevin Peterson,CB,LAR,164118
Eric Lee,LB,NWE,164118
Justin Currie,S,CLE,164118
David Moore,WR,SEA,164118
Carlos Thompson,LB,LAR,158825
Bronson Hill,RB,ARI,158825
Brandon Dixon,CB,NYG,158825
Gabe Martin,LB,ARI,158825
Bryan Braman,LB,PHI,158824
Nic Grigsby,LB,NWE,158824
Anthony Fabiano,OL,IND,158824
MyCole Pruitt,TE,HOU,144706
Anthony Johnson,DT,IND,144706
Mike Liedtke,OL,TAM,136765
Cameron Malveaux,DE,MIA,136765
Carroll Phillips,OLB,JAX,136765
Gimel President,DE,HOU,136765
De'Veon Smith,RB,MIA,136765
Michael Clark,WR,GNB,136765
Arthur Maulet,CB,NOR,136765
Isaac Whitney,WR,OAK,136765
Chad Slade,G,HOU,136765
Jesus Wilson,WR,TAM,136765
Jeremy McNichols,RB,SFO,136765
Rodney Coe,DT,SEA,136765
K.J. Brent,WR,IND,136765
Garrett Griffin,TE,NOR,136765
Pat O'Connor,DE,TAM,136765
Travis Coons,K,LAC,136765
LaTroy Lewis,LB,HOU,136765
Lavar Edwards,DE,CLE,136765
Marcus Rios,CB,DEN,136765
Stanley Jean-Baptiste,CB,BAL,127060
Darius Powe,WR,NYG,127059
Robert Davis,WR,WAS,109412
Rashaad Coward,DT,CHI,109412
DeAndrew White,WR,HOU,109412
Isaiah Johnson,DB,LAR,108529
Taylor Heinicke,QB,HOU,108529
Kapri Bibbs,RB,WAS,108528
John Phillips,TE,NOR,105882
Kyle Carter,TE,MIN,100800
Tyvis Powell,FS,SFO,95294
Gabe Holmes,TE,ARI,95294
Paul Dawson,OLB,SEA,95294
Matt Hazel,WR,IND,95294
C.J. Smith,CB,CLE,95294
Cameron Lee,G,CHI,93600
Brandon Bell,OLB,CIN,82059
Leon McQuay,S,KAN,82059
Breon Borders,CB,BUF,82059
Jarveon Williams,HB,CIN,82059
Dymonte Thomas,SS,DEN,82059
Ryan Murphy,FS,NYG,82059
Riley Bullough,ILB,TAM,82059
Isaac Rochell,DE,LAC,82059
Kache Palacio,LB,SEA,82059
Otha Peters,LB,WAS,82059
Caraun Reid,DT,DET,81176
Ronald Martin,S,IND,72353
James Stone,C,OAK,72353
David Quessenberry,OT,HOU,72353
Channing Ward,DE,TAM,63529
Michael Hunter,CB,NYG,63529
Fish Smithson,S,WAS,54706
Pharaoh Brown,TE,OAK,54706
Brett Boyko,T,LAC,54706
Reggie Gilbert,LB,GNB,54706
Dare Ogunbowale,RB,WAS,54706
Brady Sheldon,LB,OAK,54706
Ryan Malleck,TE,HOU,54706
David Rivers,CB,TAM,54706
Kent Perkins,OT,CIN,54706
Mose Frazier,WR,CAR,54706
Sam Ficken,K,LAR,54706
Krishawn Hogan,WR,IND,38294
Edmond Robinson,OLB,NYJ,36176
Marcus Murphy,RB,BUF,36176
Hakeem Valles,TE,DET,31765
Marquis Bundy,WR,NYG,31765
Rickey Hatley,DT,BUF,27353
Emanuel Byrd,TE,GNB,27353
Aaron Neary,C,LAR,27353
Garrett Sickels,DE,LAR,27353
Jeff Overbaugh,LS,MIN,27353
Quincy Adeboyejo,WR,BAL,27353
Derrick Mathews,LB,NYG,27353
